Train,Time,Distance
Express 1,0.0,0
Express 1,7.5,15
Express 1,14.5,15
Express 1,22.0,30
Express 1,22.0,30
Local 1,5.0,0
Local 1,8.75,5
Local 1,11.25,5
Local 1,15.0,10
Local 1,17.5,10
Local 1,21.25,15
Local 1,23.75,15
Local 1,27.5,20
Local 1,30.0,20
Local 1,33.75,25
Local 1,36.25,25
Local 1,40.0,30
Local 1,40.0,30
Express 2,30.0,0
Express 2,37.5,15
Express 2,44.5,15
Express 2,52.0,30
Express 2,52.0,30
Local 2,35.0,0
Local 2,38.75,5
Local 2,41.25,5
Local 2,45.0,10
Local 2,47.5,10
Local 2,51.25,15
Local 2,53.75,15
Local 2,57.5,20
Local 2,60.0,20
Local 2,63.75,25
Local 2,66.25,25
Local 2,70.0,30
Local 2,70.0,30
Freight 1,45.0,0
Freight 1,75.0,30
Freight 1,75.0,30
