Train,Time,Distance
Metro 0,0.0,27
Metro 0,0.0,27
Metro 0,1.0,27
Metro 0,2.75,29
Metro 0,3.75,29
Metro 0,5.38,30
Metro 0,6.38,30
Metro 0,7.63,31
Metro 0,8.63,31
Metro 0,12.41,34
Metro 0,13.41,34
Metro 0,15.75,36
Metro 0,16.75,36
Metro 0,19.67,39
Metro 0,20.67,39
Metro 0,21.57,39
Metro 0,22.57,39
Metro 0,23.47,40
Metro 0,24.47,40
Metro 0,25.57,41
Metro 0,26.57,41
Metro 0,27.88,42
Metro 0,28.88,42
Metro 0,30.22,43
Metro 0,31.22,43
Metro 0,32.69,45
Metro 0,33.69,45
Metro 0,34.65,45
Metro 0,35.65,45
Metro 0,37.76,47
Metro 0,38.76,47
Metro 0,40.54,49
Metro 0,41.54,49
Metro 1,2.0,27
Metro 1,2.0,27
Metro 1,3.0,27
Metro 1,4.75,29
Metro 1,5.75,29
Metro 1,7.38,30
Metro 1,8.38,30
Metro 1,9.63,31
Metro 1,10.63,31
Metro 1,14.41,34
Metro 1,15.41,34
Metro 1,17.75,36
Metro 1,18.75,36
Metro 1,21.67,39
Metro 1,22.67,39
Metro 1,23.57,39
Metro 1,24.57,39
Metro 1,25.47,40
Metro 1,26.47,40
Metro 1,27.57,41
Metro 1,28.57,41
Metro 1,29.88,42
Metro 1,30.88,42
Metro 1,32.22,43
Metro 1,33.22,43
Metro 1,34.69,45
Metro 1,35.69,45
Metro 1,36.65,45
Metro 1,37.65,45
Metro 1,39.76,47
Metro 1,40.76,47
Metro 1,42.54,49
Metro 1,43.54,49
Metro 2,4.0,27
Metro 2,4.0,27
Metro 2,5.0,27
Metro 2,6.75,29
Metro 2,7.75,29
Metro 2,9.38,30
Metro 2,10.38,30
Metro 2,11.63,31
Metro 2,12.63,31
Metro 2,16.41,34
Metro 2,17.41,34
Metro 2,19.75,36
Metro 2,20.75,36
Metro 2,23.67,39
Metro 2,24.67,39
Metro 2,25.57,39
Metro 2,26.57,39
Metro 2,27.47,40
Metro 2,28.47,40
Metro 2,29.57,41
Metro 2,30.57,41
Metro 2,31.88,42
Metro 2,32.88,42
Metro 2,34.22,43
Metro 2,35.22,43
Metro 2,36.69,45
Metro 2,37.69,45
Metro 2,38.65,45
Metro 2,39.65,45
Metro 2,41.76,47
Metro 2,42.76,47
Metro 2,44.54,49
Metro 2,45.54,49
Metro 3,6.0,27
Metro 3,6.0,27
Metro 3,7.0,27
Metro 3,8.75,29
Metro 3,9.75,29
Metro 3,11.38,30
Metro 3,12.38,30
Metro 3,13.63,31
Metro 3,14.63,31
Metro 3,18.41,34
Metro 3,19.41,34
Metro 3,21.75,36
Metro 3,22.75,36
Metro 3,25.67,39
Metro 3,26.67,39
Metro 3,27.57,39
Metro 3,28.57,39
Metro 3,29.47,40
Metro 3,30.47,40
Metro 3,31.57,41
Metro 3,32.57,41
Metro 3,33.88,42
Metro 3,34.88,42
Metro 3,36.22,43
Metro 3,37.22,43
Metro 3,38.69,45
Metro 3,39.69,45
Metro 3,40.65,45
Metro 3,41.65,45
Metro 3,43.76,47
Metro 3,44.76,47
Metro 3,46.54,49
Metro 3,47.54,49
Metro 4,8.0,27
Metro 4,8.0,27
Metro 4,9.0,27
Metro 4,10.75,29
Metro 4,11.75,29
Metro 4,13.38,30
Metro 4,14.38,30
Metro 4,15.63,31
Metro 4,16.63,31
Metro 4,20.41,34
Metro 4,21.41,34
Metro 4,23.75,36
Metro 4,24.75,36
Metro 4,27.67,39
Metro 4,28.67,39
Metro 4,29.57,39
Metro 4,30.57,39
Metro 4,31.47,40
Metro 4,32.47,40
Metro 4,33.57,41
Metro 4,34.57,41
Metro 4,35.88,42
Metro 4,36.88,42
Metro 4,38.22,43
Metro 4,39.22,43
Metro 4,40.69,45
Metro 4,41.69,45
Metro 4,42.65,45
Metro 4,43.65,45
Metro 4,45.76,47
Metro 4,46.76,47
Metro 4,48.54,49
Metro 4,49.54,49
Metro 5,10.0,27
Metro 5,10.0,27
Metro 5,11.0,27
Metro 5,12.75,29
Metro 5,13.75,29
Metro 5,15.38,30
Metro 5,16.38,30
